category,id,player1_name,player1_odds,player2_name,player2_odds,score,surface,timestamp,title,winner
ATP,2011-11-06-Giraldo S-Paire B,Giraldo S.,1.38,Paire B.,2.97,2:1,hard,2011-11-06 13:00,ATP Paris 2011,1
ATP,2011-11-06-Mahut N-Kubot L,Mahut N.,1.63,Kubot L.,2.18,2:0,hard,2011-11-06 13:50,ATP Paris 2011,1
ATP,2011-11-06-Seppi A-Querrey S,Seppi A.,2.34,Querrey S.,1.58,2:1,hard,2011-11-06 15:15,ATP Paris 2011,1
ATP,2011-11-07-Garcia-Lopez G-Giraldo S,Garcia-Lopez G.,2.63,Giraldo S.,1.46,2:1,hard,2011-11-07 10:10,ATP Paris 2011,1
ATP,2011-11-07-Youzhny M-Kohlschreiber P,Youzhny M.,2.19,Kohlschreiber P.,1.64,0:2,hard,2011-11-07 10:10,ATP Paris 2011,2
ATP,2011-11-07-Cilic M-Verdasco F,Cilic M.,1.41,Verdasco F.,2.84,1:2,hard,2011-11-07 11:55,ATP Paris 2011,2
ATP,2011-11-07-Muller G-Anderson K,Muller G.,2.92,Anderson K.,1.39,1:2,hard,2011-11-07 12:45,ATP Paris 2011,2
ATP,2011-11-07-Raonic M-Benneteau J,Raonic M.,1.65,Benneteau J.,2.17,1:2,hard,2011-11-07 14:05,ATP Paris 2011,2
ATP,2011-11-07-Mayer F-Stepanek R,Mayer F.,1.93,Stepanek R.,1.79,2:0,hard,2011-11-07 14:55,ATP Paris 2011,1
ATP,2011-11-07-Bellucci T-Bogomolov A,Bellucci T.,2.51,Bogomolov A. Jr,1.52,1:2,hard,2011-11-07 16:40,ATP Paris 2011,2
ATP,2011-11-07-Ferrero J-Mahut N,Ferrero J. C.,1.93,Mahut N.,1.81,0:2,hard,2011-11-07 18:45,ATP Paris 2011,2
ATP,2011-11-07-Seppi A-Davydenko N,Seppi A.,2.22,Davydenko N.,1.63,2:0,hard,2011-11-07 19:10,ATP Paris 2011,1
ATP,2011-11-07-Tursunov D-Mannarino A,Tursunov D.,1.65,Mannarino A.,2.18,0:2,hard,2011-11-07 20:20,ATP Paris 2011,2
